run_file,run_id,run_name,created_at_utc,run_schema_version,git_sha,script_persist_directory,script_collection_name,script_chroma_sqlite_sha256,derived_persist_directory,derived_collection_name,derived_build_tag,derived_chroma_sqlite_sha256,persist_directory,search_type,k,qe_enabled,case_id,question,retrieved_any,said_idk,cited_episode,context_docs,context_chars,distinct_episode_count,distinct_source_count,top_episode_share,episode_entropy_norm,source_dup_rate,episode_dup_rate,aggregation_like,aggregation_readiness_score_0_100,cited_episode_ids_not_in_context_count,grounding_failure,retrieval_failure
experiments/runs/2026-03-02T19-41-43Z_baseline_similarity_k3.json,2026-03-02T19-41-43Z_baseline_similarity_k3,baseline_similarity_k3,2026-03-02T19:41:43Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,3,,q1,Find the episode where Dwight says something like 'Bears. Beets. Battlestar Galactica.' What is the context?,True,False,False,3,2406,,,,,,,,,,,
experiments/runs/2026-03-02T19-41-43Z_baseline_similarity_k3.json,2026-03-02T19-41-43Z_baseline_similarity_k3,baseline_similarity_k3,2026-03-02T19:41:43Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,3,,q2,In what episode does Michael burn his foot?,True,False,False,3,1927,,,,,,,,,,,
experiments/runs/2026-03-02T19-41-43Z_baseline_similarity_k3.json,2026-03-02T19-41-43Z_baseline_similarity_k3,baseline_similarity_k3,2026-03-02T19:41:43Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,3,,q3,Summarize season 2 of The Office.,True,False,True,3,1004,,,,,,,,,,,
experiments/runs/2026-03-02T19-41-43Z_baseline_similarity_k3.json,2026-03-02T19-41-43Z_baseline_similarity_k3,baseline_similarity_k3,2026-03-02T19:41:43Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,3,,q4,Why does Dwight dislike Jim? Give 3 reasons with examples,True,False,False,3,3526,,,,,,,,,,,
experiments/runs/2026-03-02T19-41-43Z_baseline_similarity_k3.json,2026-03-02T19-41-43Z_baseline_similarity_k3,baseline_similarity_k3,2026-03-02T19:41:43Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,3,,q5,List Michael Scott’s serious girlfriends and how the relationships ended.,True,False,False,3,3838,,,,,,,,,,,
experiments/runs/2026-03-02T19-41-43Z_baseline_similarity_k3.json,2026-03-02T19-41-43Z_baseline_similarity_k3,baseline_similarity_k3,2026-03-02T19:41:43Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,3,,q6,What is the teapot letter and why is it important?,True,False,True,3,2672,,,,,,,,,,,
experiments/runs/2026-03-02T19-41-43Z_baseline_similarity_k3.json,2026-03-02T19-41-43Z_baseline_similarity_k3,baseline_similarity_k3,2026-03-02T19:41:43Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,3,,q7,Who is Creed and what is his deal?,True,False,False,3,1972,,,,,,,,,,,
experiments/runs/2026-03-02T19-45-31Z_t1_similarity_k12.json,2026-03-02T19-45-31Z_t1_similarity_k12,t1_similarity_k12,2026-03-02T19:45:31Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,12,,q1,Find the episode where Dwight says something like 'Bears. Beets. Battlestar Galactica.' What is the context?,True,False,False,12,11414,,,,,,,,,,,
experiments/runs/2026-03-02T19-45-31Z_t1_similarity_k12.json,2026-03-02T19-45-31Z_t1_similarity_k12,t1_similarity_k12,2026-03-02T19:45:31Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,12,,q2,In what episode does Michael burn his foot?,True,False,False,12,8842,,,,,,,,,,,
experiments/runs/2026-03-02T19-45-31Z_t1_similarity_k12.json,2026-03-02T19-45-31Z_t1_similarity_k12,t1_similarity_k12,2026-03-02T19:45:31Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,12,,q3,Summarize season 2 of The Office.,True,False,True,12,6062,,,,,,,,,,,
experiments/runs/2026-03-02T19-45-31Z_t1_similarity_k12.json,2026-03-02T19-45-31Z_t1_similarity_k12,t1_similarity_k12,2026-03-02T19:45:31Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,12,,q4,Why does Dwight dislike Jim? Give 3 reasons with examples,True,False,True,12,11097,,,,,,,,,,,
experiments/runs/2026-03-02T19-45-31Z_t1_similarity_k12.json,2026-03-02T19-45-31Z_t1_similarity_k12,t1_similarity_k12,2026-03-02T19:45:31Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,12,,q5,List Michael Scott’s serious girlfriends and how the relationships ended.,True,False,False,12,15053,,,,,,,,,,,
experiments/runs/2026-03-02T19-45-31Z_t1_similarity_k12.json,2026-03-02T19-45-31Z_t1_similarity_k12,t1_similarity_k12,2026-03-02T19:45:31Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,12,,q6,What is the teapot letter and why is it important?,True,False,True,12,10504,,,,,,,,,,,
experiments/runs/2026-03-02T19-45-31Z_t1_similarity_k12.json,2026-03-02T19-45-31Z_t1_similarity_k12,t1_similarity_k12,2026-03-02T19:45:31Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,12,,q7,Who is Creed and what is his deal?,True,False,False,12,7027,,,,,,,,,,,
experiments/runs/2026-03-02T20-01-46Z_t2_mmr_k12_fetch40_l07.json,2026-03-02T20-01-46Z_t2_mmr_k12_fetch40_l07,t2_mmr_k12_fetch40_l07,2026-03-02T20:01:46Z,,,db/chroma_db,,,,,,,db/chroma_db,mmr,12,,q1,Find the episode where Dwight says something like 'Bears. Beets. Battlestar Galactica.' What is the context?,False,True,False,0,0,,,,,,,,,,,
experiments/runs/2026-03-02T20-01-46Z_t2_mmr_k12_fetch40_l07.json,2026-03-02T20-01-46Z_t2_mmr_k12_fetch40_l07,t2_mmr_k12_fetch40_l07,2026-03-02T20:01:46Z,,,db/chroma_db,,,,,,,db/chroma_db,mmr,12,,q2,In what episode does Michael burn his foot?,False,True,False,0,0,,,,,,,,,,,
experiments/runs/2026-03-02T20-01-46Z_t2_mmr_k12_fetch40_l07.json,2026-03-02T20-01-46Z_t2_mmr_k12_fetch40_l07,t2_mmr_k12_fetch40_l07,2026-03-02T20:01:46Z,,,db/chroma_db,,,,,,,db/chroma_db,mmr,12,,q3,Summarize season 2 of The Office.,False,True,False,0,0,,,,,,,,,,,
experiments/runs/2026-03-02T20-01-46Z_t2_mmr_k12_fetch40_l07.json,2026-03-02T20-01-46Z_t2_mmr_k12_fetch40_l07,t2_mmr_k12_fetch40_l07,2026-03-02T20:01:46Z,,,db/chroma_db,,,,,,,db/chroma_db,mmr,12,,q4,Why does Dwight dislike Jim? Give 3 reasons with examples,False,True,False,0,0,,,,,,,,,,,
experiments/runs/2026-03-02T20-01-46Z_t2_mmr_k12_fetch40_l07.json,2026-03-02T20-01-46Z_t2_mmr_k12_fetch40_l07,t2_mmr_k12_fetch40_l07,2026-03-02T20:01:46Z,,,db/chroma_db,,,,,,,db/chroma_db,mmr,12,,q5,List Michael Scott’s serious girlfriends and how the relationships ended.,False,True,False,0,0,,,,,,,,,,,
experiments/runs/2026-03-02T20-01-46Z_t2_mmr_k12_fetch40_l07.json,2026-03-02T20-01-46Z_t2_mmr_k12_fetch40_l07,t2_mmr_k12_fetch40_l07,2026-03-02T20:01:46Z,,,db/chroma_db,,,,,,,db/chroma_db,mmr,12,,q6,What is the teapot letter and why is it important?,False,True,False,0,0,,,,,,,,,,,
experiments/runs/2026-03-02T20-01-46Z_t2_mmr_k12_fetch40_l07.json,2026-03-02T20-01-46Z_t2_mmr_k12_fetch40_l07,t2_mmr_k12_fetch40_l07,2026-03-02T20:01:46Z,,,db/chroma_db,,,,,,,db/chroma_db,mmr,12,,q7,Who is Creed and what is his deal?,False,True,False,0,0,,,,,,,,,,,
experiments/runs/2026-03-02T20-06-06Z_baseline_similarity_k3.json,2026-03-02T20-06-06Z_baseline_similarity_k3,baseline_similarity_k3,2026-03-02T20:06:06Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,3,,q1,Find the episode where Dwight says something like 'Bears. Beets. Battlestar Galactica.' What is the context?,True,False,False,3,2406,,,,,,,,,,,
experiments/runs/2026-03-02T20-06-06Z_baseline_similarity_k3.json,2026-03-02T20-06-06Z_baseline_similarity_k3,baseline_similarity_k3,2026-03-02T20:06:06Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,3,,q2,In what episode does Michael burn his foot?,True,False,False,3,1927,,,,,,,,,,,
experiments/runs/2026-03-02T20-06-06Z_baseline_similarity_k3.json,2026-03-02T20-06-06Z_baseline_similarity_k3,baseline_similarity_k3,2026-03-02T20:06:06Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,3,,q3,Summarize season 2 of The Office.,True,False,False,3,1004,,,,,,,,,,,
experiments/runs/2026-03-02T20-06-06Z_baseline_similarity_k3.json,2026-03-02T20-06-06Z_baseline_similarity_k3,baseline_similarity_k3,2026-03-02T20:06:06Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,3,,q4,Why does Dwight dislike Jim? Give 3 reasons with examples,True,False,False,3,3526,,,,,,,,,,,
experiments/runs/2026-03-02T20-06-06Z_baseline_similarity_k3.json,2026-03-02T20-06-06Z_baseline_similarity_k3,baseline_similarity_k3,2026-03-02T20:06:06Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,3,,q5,List Michael Scott’s serious girlfriends and how the relationships ended.,True,False,False,3,3838,,,,,,,,,,,
experiments/runs/2026-03-02T20-06-06Z_baseline_similarity_k3.json,2026-03-02T20-06-06Z_baseline_similarity_k3,baseline_similarity_k3,2026-03-02T20:06:06Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,3,,q6,What is the teapot letter and why is it important?,True,False,False,3,2672,,,,,,,,,,,
experiments/runs/2026-03-02T20-06-06Z_baseline_similarity_k3.json,2026-03-02T20-06-06Z_baseline_similarity_k3,baseline_similarity_k3,2026-03-02T20:06:06Z,,,db/chroma_db,,,,,,,db/chroma_db,similarity,3,,q7,Who is Creed and what is his deal?,True,False,False,3,1972,,,,,,,,,,,
experiments/runs/2026-03-02T23-27-02Z_t2_mmr_k12_fetch40_l07_fixed.json,2026-03-02T23-27-02Z_t2_mmr_k12_fetch40_l07_fixed,t2_mmr_k12_fetch40_l07_fixed,2026-03-02T23:27:02Z,,,db/chroma_db,,,,,,,db/chroma_db,mmr,12,,q1,Find the episode where Dwight says something like 'Bears. Beets. Battlestar Galactica.' What is the context?,True,False,True,12,10509,,,,,,,,,,,
experiments/runs/2026-03-02T23-27-02Z_t2_mmr_k12_fetch40_l07_fixed.json,2026-03-02T23-27-02Z_t2_mmr_k12_fetch40_l07_fixed,t2_mmr_k12_fetch40_l07_fixed,2026-03-02T23:27:02Z,,,db/chroma_db,,,,,,,db/chroma_db,mmr,12,,q2,In what episode does Michael burn his foot?,True,False,False,12,7833,,,,,,,,,,,
experiments/runs/2026-03-02T23-27-02Z_t2_mmr_k12_fetch40_l07_fixed.json,2026-03-02T23-27-02Z_t2_mmr_k12_fetch40_l07_fixed,t2_mmr_k12_fetch40_l07_fixed,2026-03-02T23:27:02Z,,,db/chroma_db,,,,,,,db/chroma_db,mmr,12,,q3,Summarize season 2 of The Office.,True,False,True,12,4882,,,,,,,,,,,
experiments/runs/2026-03-02T23-27-02Z_t2_mmr_k12_fetch40_l07_fixed.json,2026-03-02T23-27-02Z_t2_mmr_k12_fetch40_l07_fixed,t2_mmr_k12_fetch40_l07_fixed,2026-03-02T23:27:02Z,,,db/chroma_db,,,,,,,db/chroma_db,mmr,12,,q4,Why does Dwight dislike Jim? Give 3 reasons with examples,True,False,False,12,10224,,,,,,,,,,,
experiments/runs/2026-03-02T23-27-02Z_t2_mmr_k12_fetch40_l07_fixed.json,2026-03-02T23-27-02Z_t2_mmr_k12_fetch40_l07_fixed,t2_mmr_k12_fetch40_l07_fixed,2026-03-02T23:27:02Z,,,db/chroma_db,,,,,,,db/chroma_db,mmr,12,,q5,List Michael Scott’s serious girlfriends and how the relationships ended.,True,False,False,12,13285,,,,,,,,,,,
experiments/runs/2026-03-02T23-27-02Z_t2_mmr_k12_fetch40_l07_fixed.json,2026-03-02T23-27-02Z_t2_mmr_k12_fetch40_l07_fixed,t2_mmr_k12_fetch40_l07_fixed,2026-03-02T23:27:02Z,,,db/chroma_db,,,,,,,db/chroma_db,mmr,12,,q6,What is the teapot letter and why is it important?,True,False,False,12,10241,,,,,,,,,,,
experiments/runs/2026-03-02T23-27-02Z_t2_mmr_k12_fetch40_l07_fixed.json,2026-03-02T23-27-02Z_t2_mmr_k12_fetch40_l07_fixed,t2_mmr_k12_fetch40_l07_fixed,2026-03-02T23:27:02Z,,,db/chroma_db,,,,,,,db/chroma_db,mmr,12,,q7,Who is Creed and what is his deal?,True,False,False,12,6940,,,,,,,,,,,
experiments/runs/2026-03-03T04-35-41Z_scene_chunks_mmr_k12.json,2026-03-03T04-35-41Z_scene_chunks_mmr_k12,scene_chunks_mmr_k12,2026-03-03T04:35:41Z,,,db/chroma_db_scene,,,,,,,db/chroma_db_scene,mmr,12,,q1,Find the episode where Dwight says something like 'Bears. Beets. Battlestar Galactica.' What is the context?,True,False,False,12,7701,,,,,,,,,,,
experiments/runs/2026-03-03T04-35-41Z_scene_chunks_mmr_k12.json,2026-03-03T04-35-41Z_scene_chunks_mmr_k12,scene_chunks_mmr_k12,2026-03-03T04:35:41Z,,,db/chroma_db_scene,,,,,,,db/chroma_db_scene,mmr,12,,q2,In what episode does Michael burn his foot?,True,False,True,12,6796,,,,,,,,,,,
experiments/runs/2026-03-03T04-35-41Z_scene_chunks_mmr_k12.json,2026-03-03T04-35-41Z_scene_chunks_mmr_k12,scene_chunks_mmr_k12,2026-03-03T04:35:41Z,,,db/chroma_db_scene,,,,,,,db/chroma_db_scene,mmr,12,,q3,Summarize season 2 of The Office.,True,False,True,12,4204,,,,,,,,,,,
experiments/runs/2026-03-03T04-35-41Z_scene_chunks_mmr_k12.json,2026-03-03T04-35-41Z_scene_chunks_mmr_k12,scene_chunks_mmr_k12,2026-03-03T04:35:41Z,,,db/chroma_db_scene,,,,,,,db/chroma_db_scene,mmr,12,,q4,Why does Dwight dislike Jim? Give 3 reasons with examples,True,False,False,12,5122,,,,,,,,,,,
experiments/runs/2026-03-03T04-35-41Z_scene_chunks_mmr_k12.json,2026-03-03T04-35-41Z_scene_chunks_mmr_k12,scene_chunks_mmr_k12,2026-03-03T04:35:41Z,,,db/chroma_db_scene,,,,,,,db/chroma_db_scene,mmr,12,,q5,List Michael Scott’s serious girlfriends and how the relationships ended.,True,False,False,12,9468,,,,,,,,,,,
experiments/runs/2026-03-03T04-35-41Z_scene_chunks_mmr_k12.json,2026-03-03T04-35-41Z_scene_chunks_mmr_k12,scene_chunks_mmr_k12,2026-03-03T04:35:41Z,,,db/chroma_db_scene,,,,,,,db/chroma_db_scene,mmr,12,,q6,What is the teapot letter and why is it important?,True,True,False,12,4606,,,,,,,,,,,
experiments/runs/2026-03-03T04-35-41Z_scene_chunks_mmr_k12.json,2026-03-03T04-35-41Z_scene_chunks_mmr_k12,scene_chunks_mmr_k12,2026-03-03T04:35:41Z,,,db/chroma_db_scene,,,,,,,db/chroma_db_scene,mmr,12,,q7,Who is Creed and what is his deal?,True,False,False,12,2474,,,,,,,,,,,
experiments/runs/2026-03-03T04-50-43Z_scene_chunks_similarity_k12.json,2026-03-03T04-50-43Z_scene_chunks_similarity_k12,scene_chunks_similarity_k12,2026-03-03T04:50:43Z,,,db/chroma_db_scene,,,,,,,db/chroma_db_scene,similarity,12,,q1,Find the episode where Dwight says something like 'Bears. Beets. Battlestar Galactica.' What is the context?,True,False,True,12,9925,,,,,,,,,,,
experiments/runs/2026-03-03T04-50-43Z_scene_chunks_similarity_k12.json,2026-03-03T04-50-43Z_scene_chunks_similarity_k12,scene_chunks_similarity_k12,2026-03-03T04:50:43Z,,,db/chroma_db_scene,,,,,,,db/chroma_db_scene,similarity,12,,q2,In what episode does Michael burn his foot?,True,False,True,12,7291,,,,,,,,,,,
experiments/runs/2026-03-03T04-50-43Z_scene_chunks_similarity_k12.json,2026-03-03T04-50-43Z_scene_chunks_similarity_k12,scene_chunks_similarity_k12,2026-03-03T04:50:43Z,,,db/chroma_db_scene,,,,,,,db/chroma_db_scene,similarity,12,,q3,Summarize season 2 of The Office.,True,False,True,12,4270,,,,,,,,,,,
experiments/runs/2026-03-03T04-50-43Z_scene_chunks_similarity_k12.json,2026-03-03T04-50-43Z_scene_chunks_similarity_k12,scene_chunks_similarity_k12,2026-03-03T04:50:43Z,,,db/chroma_db_scene,,,,,,,db/chroma_db_scene,similarity,12,,q4,Why does Dwight dislike Jim? Give 3 reasons with examples,True,False,False,12,6849,,,,,,,,,,,
